created_at,entry_id,field4
2019-03-05 06:45:55 UTC,123,
2019-03-05 06:46:11 UTC,124,
2019-03-05 06:46:28 UTC,125,
2019-03-05 06:46:45 UTC,126,
2019-03-05 06:47:02 UTC,127,
2019-03-05 06:47:18 UTC,128,
2019-03-05 06:49:49 UTC,129,
2019-03-05 11:58:26 UTC,130,
2019-03-05 11:58:54 UTC,131,
2019-03-05 11:59:20 UTC,132,
2019-03-05 11:59:49 UTC,133,
2019-03-05 12:00:18 UTC,134,
2019-03-05 12:00:47 UTC,135,
2019-03-05 12:01:17 UTC,136,
2019-03-05 12:01:46 UTC,137,
2019-03-05 12:02:15 UTC,138,
2019-03-05 12:03:02 UTC,139,150
2019-03-05 12:03:31 UTC,140,300
2019-03-05 12:04:00 UTC,141,450
2019-03-05 12:04:29 UTC,142,600
2019-03-05 12:04:59 UTC,143,750
2019-03-05 12:05:28 UTC,144,900
2019-03-05 12:05:57 UTC,145,1050
2019-03-05 12:06:27 UTC,146,1200
2019-03-05 12:06:56 UTC,147,1350
2019-03-05 12:07:25 UTC,148,1500
2019-03-05 12:07:55 UTC,149,1650
2019-03-05 12:08:24 UTC,150,1800
2019-03-05 12:08:53 UTC,151,1950
2019-03-05 12:09:22 UTC,152,2100
2019-03-05 12:09:51 UTC,153,2250
2019-03-05 12:10:21 UTC,154,2400
2019-03-05 12:10:50 UTC,155,2550
2019-03-05 12:11:43 UTC,156,2700
2019-03-05 12:12:12 UTC,157,2850
2019-03-05 12:12:42 UTC,158,3000
2019-03-05 12:13:11 UTC,159,3150
2019-03-05 12:13:40 UTC,160,3300
2019-03-05 12:18:33 UTC,161,3600
2019-03-05 12:19:02 UTC,162,3750
2019-03-05 12:19:31 UTC,163,3900
2019-03-05 12:20:06 UTC,164,150
2019-03-05 12:20:36 UTC,165,300
2019-03-05 12:21:05 UTC,166,450
2019-03-05 12:21:34 UTC,167,600
2019-03-05 12:22:15 UTC,168,150
2019-03-05 12:22:44 UTC,169,300
2019-03-05 12:23:13 UTC,170,450
2019-03-05 12:23:42 UTC,171,600
2019-03-05 12:24:11 UTC,172,750
2019-03-05 12:24:40 UTC,173,900
2019-03-05 12:25:09 UTC,174,1050
2019-03-05 12:25:39 UTC,175,1200
2019-03-05 12:26:08 UTC,176,1350
2019-03-05 12:26:37 UTC,177,1500
2019-03-05 12:27:06 UTC,178,1650
2019-03-05 12:27:28 UTC,179,150
2019-03-05 12:27:57 UTC,180,300
2019-03-05 12:28:26 UTC,181,450
2019-03-05 12:28:55 UTC,182,600
2019-03-05 12:29:24 UTC,183,750
2019-03-05 12:29:53 UTC,184,900
2019-03-05 12:30:22 UTC,185,1050
2019-03-05 12:30:51 UTC,186,1200
2019-03-05 12:31:19 UTC,187,1350
2019-03-05 12:31:47 UTC,188,1500
2019-03-05 12:32:16 UTC,189,1650
2019-03-05 12:32:44 UTC,190,1800
2019-03-05 12:33:13 UTC,191,1950
2019-03-05 12:33:41 UTC,192,2100
2019-03-05 12:34:09 UTC,193,2250
2019-03-05 12:34:38 UTC,194,2400
2019-03-05 12:35:06 UTC,195,2550
2019-03-05 12:35:35 UTC,196,2700
2019-03-05 12:36:03 UTC,197,2850
2019-03-05 12:36:31 UTC,198,3000
2019-03-05 12:38:25 UTC,199,3600
2019-03-05 12:38:54 UTC,200,3750
2019-03-05 12:39:22 UTC,201,3900
2019-03-06 12:13:40 UTC,202,3300
2019-03-07 12:18:33 UTC,203,3600
2019-03-08 12:19:02 UTC,204,3750
2019-03-09 12:19:31 UTC,205,3900
2019-03-10 12:20:06 UTC,206,150
2019-03-11 12:20:36 UTC,207,300
2019-03-12 12:21:05 UTC,208,450
2019-03-13 12:21:34 UTC,209,600
2019-03-14 13:22:15 UTC,210,150
2019-03-15 18:22:04 UTC,211,300
2019-03-16 05:23:13 UTC,212,450
2019-03-17 12:23:42 UTC,213,600
2019-03-18 12:24:11 UTC,214,750
2019-03-19 12:24:40 UTC,215,900
2019-03-20 12:25:09 UTC,216,1050
2019-03-21 12:32:39 UTC,217,1200
2019-03-22 12:26:08 UTC,218,1350
2019-03-23 12:26:37 UTC,219,1500
2019-03-24 17:45:06 UTC,220,1650
2019-03-25 12:27:28 UTC,221,150
2019-03-26 12:27:57 UTC,222,300
